iter	RMSE
0	32412.05129
1	30946.23148
2	29601.14737
3	28377.69462
4	27188.42368
5	26026.80062
6	24966.16499
7	23935.6823
8	22997.797
9	22095.77971
10	21244.60192
11	20453.77458
12	19724.42253
13	19007.80706
14	18371.79647
15	17742.02366
16	17186.69972
17	16652.99893
18	16143.65734
19	15669.05025
20	15257.6953
21	14843.04671
22	14457.97003
23	14120.35197
24	13801.53077
25	13522.21551
26	13239.65691
27	13003.04181
28	12772.62483
29	12557.48917
30	12355.34529
31	12178.68584
32	12014.02379
33	11867.36494
34	11725.85461
35	11593.31202
36	11481.08918
37	11377.3695
38	11274.52506
39	11188.72815
40	11103.12624
41	11028.90212
42	10967.30235
43	10901.836
44	10846.62299
45	10796.52192
46	10748.094
47	10705.43246
48	10664.5742
49	10629.30857
50	10600.12565
51	10567.33401
52	10542.96643
53	10519.71849
54	10493.99816
55	10473.51434
56	10452.13651
57	10436.29025
58	10424.70138
59	10409.4042
60	10394.69139
61	10382.35995
62	10367.34155
63	10355.13484
64	10345.90858
65	10335.81072
66	10324.56926
67	10314.06175
68	10303.78663
69	10296.76398
70	10289.44008
71	10283.24563
72	10276.72224
73	10270.90963
74	10266.84907
75	10261.62317
76	10256.41784
77	10250.91878
78	10245.46422
79	10238.70028
80	10232.29566
81	10228.34975
82	10223.37393
83	10218.14535
84	10214.44858
85	10210.96606
86	10206.43845
87	10202.14043
88	10196.2352
89	10193.44027
90	10189.7001
91	10185.33274
92	10180.55486
93	10177.48865
94	10172.66814
95	10169.80307
96	10164.17495
97	10161.88123
98	10158.77573
99	10156.02987
100	10151.42883
101	10148.31231
102	10145.9109
103	10140.34827
104	10135.5861
105	10129.07409
106	10125.74615
107	10124.28009
108	10120.43347
109	10118.48998
110	10116.94551
111	10111.51774
112	10108.68869
113	10108.30407
114	10103.64183
115	10101.03301
116	10098.10768
117	10095.75363
118	10094.01475
119	10087.8294
120	10082.91405
121	10079.08787
122	10074.31386
123	10071.41958
124	10067.82677
125	10064.2802
126	10059.51476
127	10056.86256
128	10055.25809
129	10049.99584
130	10047.5859
131	10043.27671
132	10041.46156
133	10035.41494
134	10027.94105
135	10021.06839
136	10020.27554
137	10016.03726
138	10010.84434
139	10008.42277
140	10004.77281
141	10000.68298
142	9998.307501
143	9995.233175
144	9990.124704
145	9985.475639
146	9980.124346
147	9977.587551
148	9972.894843
149	9965.389104
150	9960.327332
151	9956.986039
152	9953.30375
153	9949.552242
154	9948.435264
155	9942.453339
156	9938.994145
157	9931.860904
158	9926.969871
159	9922.788745
160	9921.271942
161	9914.713718
162	9912.003836
163	9909.496515
164	9906.101079
165	9899.574215
166	9896.103248
167	9893.613614
168	9891.223167
169	9887.450343
170	9883.909733
171	9881.072326
172	9876.721751
173	9873.538689
174	9869.62335
175	9863.126402
176	9860.572373
177	9858.229406
178	9856.185343
179	9853.19725
180	9850.917897
181	9849.333598
182	9845.920049
183	9841.322694
184	9834.845644
185	9830.900849
186	9827.153102
187	9822.723172
188	9818.84645
189	9815.491467
190	9812.329591
191	9810.280067
192	9805.985991
193	9803.674019
194	9800.564465
195	9798.64284
196	9796.764139
197	9793.285885
198	9789.767118
199	9785.845012
200	9783.14021
201	9777.612492
202	9773.214236
203	9771.099259
204	9768.842435
205	9766.022876
206	9764.251343
207	9761.093088
208	9757.681692
209	9753.632685
210	9750.453798
