iter	Passed	Remaining
0	1	1509
1	2	1484
2	4	1500
3	5	1458
4	7	1437
5	8	1438
6	10	1495
7	12	1574
8	14	1558
9	15	1542
10	16	1526
11	18	1495
12	19	1479
13	20	1475
14	22	1481
15	24	1496
16	25	1494
17	27	1526
18	29	1538
19	31	1542
20	33	1547
21	35	1560
22	36	1552
23	38	1559
24	39	1559
25	41	1567
26	44	1590
27	45	1586
28	48	1608
29	49	1608
30	51	1603
31	52	1599
32	54	1602
33	56	1611
34	58	1612
35	60	1616
36	61	1606
37	63	1599
38	64	1601
39	66	1591
40	67	1578
41	68	1569
42	70	1571
43	72	1578
44	74	1576
45	75	1570
46	77	1571
47	79	1575
48	80	1571
49	82	1564
50	83	1559
51	85	1558
52	88	1578
53	89	1576
54	91	1568
55	92	1559
56	93	1550
57	94	1541
58	96	1534
59	97	1531
60	98	1523
61	100	1522
62	102	1526
63	104	1527
64	106	1525
65	107	1519
66	108	1514
67	110	1510
68	111	1503
69	112	1495
70	113	1488
71	115	1486
72	117	1486
73	118	1487
74	120	1484
75	121	1481
76	123	1476
77	124	1475
78	126	1470
79	127	1465
80	128	1459
81	129	1453
82	132	1459
83	134	1467
84	136	1465
85	137	1461
86	138	1456
87	140	1453
88	141	1453
89	143	1449
90	144	1444
91	146	1442
92	148	1444
93	150	1446
94	151	1444
95	153	1441
96	154	1438
97	156	1436
98	157	1431
99	158	1426
100	159	1421
101	161	1421
102	164	1433
103	167	1444
104	169	1442
105	170	1439
106	171	1434
107	173	1431
108	174	1426
109	175	1421
110	177	1423
111	179	1426
112	181	1425
113	182	1418
114	183	1415
115	185	1411
116	186	1408
117	187	1404
118	189	1400
119	190	1399
120	193	1403
121	195	1404
122	196	1404
123	198	1402
124	199	1398
125	201	1394
126	202	1391
127	203	1387
128	204	1382
129	205	1378
130	207	1377
131	209	1380
132	211	1381
133	213	1378
134	214	1376
135	216	1375
136	217	1368
137	218	1365
138	219	1361
139	220	1357
140	222	1354
141	224	1356
142	226	1359
143	228	1357
144	229	1355
145	231	1351
146	233	1352
147	234	1349
148	235	1346
149	236	1342
150	239	1344
151	241	1344
152	242	1342
153	244	1341
154	245	1338
155	246	1335
156	248	1333
157	249	1330
158	251	1327
159	252	1325
160	254	1326
161	257	1330
162	258	1328
163	260	1326
164	261	1323
165	263	1321
166	264	1318
167	265	1315
168	266	1312
169	268	1312
170	271	1315
171	273	1315
172	275	1315
173	276	1314
174	278	1313
175	279	1309
176	281	1306
177	282	1303
178	283	1301
179	285	1301
180	287	1301
181	289	1300
182	290	1298
183	292	1297
184	293	1294
185	294	1291
186	296	1287
187	297	1284
188	299	1283
189	300	1282
190	303	1283
191	304	1282
192	306	1279
193	307	1276
194	308	1274
195	309	1271
196	311	1268
197	312	1265
198	313	1262
199	315	1261
200	317	1262
201	319	1260
202	320	1259
203	322	1256
204	323	1254
205	325	1253
206	326	1250
207	327	1246
208	328	1243
209	330	1242
210	332	1243
211	334	1243
212	336	1242
213	337	1239
214	338	1237
215	340	1234
216	341	1233
217	343	1232
218	344	1229
219	346	1230
220	348	1229
221	350	1227
222	351	1225
223	353	1222
224	354	1220
225	355	1218
226	356	1215
227	358	1212
228	359	1209
229	361	1209
230	363	1211
231	365	1210
232	367	1208
233	368	1206
234	369	1203
235	371	1203
236	373	1201
237	374	1198
238	375	1196
239	377	1196
240	380	1197
241	381	1195
242	383	1193
243	384	1191
244	385	1189
245	387	1186
246	388	1183
247	389	1180
248	390	1177
249	392	1178
250	395	1178
251	396	1177
252	398	1175
253	399	1173
254	401	1172
255	402	1170
